0,1
Field,Description
"M, S, U",Enable transfer recording in the selected privileged mode(s).
RASEMU,"Enables RAS (Return Address Stack) Emulation Mode. See RAS (Return Address Stack)
Emulation Mode."
MTE,Enables recording of traps to M-mode when M=0. See External Traps.
STE,Enables recording of traps to S-mode when S=0. See External Traps.
BPFRZ,"Set sctrstatus.FROZEN on a breakpoint exception that traps to M-mode or S-mode. See
Freeze."
LCOFIFRZ,"Set sctrstatus.FROZEN on local-counter-overflow interrupt (LCOFI) that traps to M-mode
or S-mode. See Freeze."
EXCINH,Inhibit recording of exceptions. See Transfer Type Filtering.
INTRINH,Inhibit recording of interrupts. See Transfer Type Filtering.
TRETINH,Inhibit recording of trap returns. See Transfer Type Filtering.
NTBREN,Enable recording of not-taken branches. See Transfer Type Filtering.
TKBRINH,Inhibit recording of taken branches. See Transfer Type Filtering.
INDCALLINH,Inhibit recording of indirect calls. See Transfer Type Filtering.
DIRCALLINH,Inhibit recording of direct calls. See Transfer Type Filtering.
INDJMPINH,Inhibit recording of indirect jumps (without linkage). See Transfer Type Filtering.
DIRJMPINH,Inhibit recording of direct jumps (without linkage). See Transfer Type Filtering.
CORSWAPINH,Inhibit recording of co-routine swaps. See Transfer Type Filtering.
RETINH,Inhibit recording of function returns. See Transfer Type Filtering.
INDLJMPINH,Inhibit recording of other indirect jumps (with linkage). See Transfer Type Filtering.
DIRLJMPINH,Inhibit recording of other direct jumps (with linkage). See Transfer Type Filtering.
Custom[3:0],"WARL bits designated for custom use. The value 0 must correspond to standard behavior. See
Custom Extensions."
