0,1,2,3
Number,Privilege,Name,Description
,,M,achine Information Registers
"0xF11
0xF12
0xF13
0xF14
0xF15","MRO
MRO
MRO
MRO
MRO","mvendorid
marchid
mimpid
mhartid
mconfigptr","Vendor ID.
Architecture ID.
Implementation ID.
Hardware thread ID.
Pointer to configuration data structure."
,,,Machine Trap Setup
"0x300
0x301
0x302
0x303
0x304
0x305
0x306
0x310
0x312","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mstatus
misa
medeleg
mideleg
mie
mtvec
mcounteren
mstatush
medelegh","Machine status register.
ISA and extensions
Machine exception delegation register.
Machine interrupt delegation register.
Machine interrupt-enable register.
Machine trap-handler base address.
Machine counter enable.
Additional machine status register, RV32 only.
Upper 32 bits of medeleg, RV32 only."
,,,Machine Trap Handling
"0x340
0x341
0x342
0x343
0x344
0x34A
0x34B","MRW
MRW
MRW
MRW
MRW
MRW
MRW","mscratch
mepc
mcause
mtval
mip
mtinst
mtval2","Machine scratch register.
Machine exception program counter.
Machine trap cause.
Machine trap value.
Machine interrupt pending.
Machine trap instruction (transformed).
Machine second trap value."
,,,Machine Indirect
"0x350
0x351
0x352
0x353
0x355
0x356
0x357","MRW
MRW
MRW
MRW
MRW
MRW
MRW","miselect
mireg
mireg2
mireg3
mireg4
mireg5
mireg6","Machine indirect register select.
Machine indirect register alias.
Machine indirect register alias 2.
Machine indirect register alias 3.
Machine indirect register alias 4.
Machine indirect register alias 5.
Machine indirect register alias 6."
,,,Machine Configuration
"0x30A
0x31A
0x747
0x757","MRW
MRW
MRW
MRW","menvcfg
menvcfgh
mseccfg
mseccfgh","Machine environment configuration register.
Upper 32 bits of menvcfg, RV32 only.
Machine security configuration register.
Upper 32 bits of mseccfg, RV32 only."
,,,Machine Memory Protection
