0,1,2,3,4,5,6
miselect,mireg,mireg2,mireg3,mireg4,mireg5,mireg6
0x30,iprio0,none,none,none,none,none
…,…,…,…,…,…,…
0x3F,iprio15,none,none,none,none,none
0x70,eidelivery,none,none,none,none,none
0x71,0,none,none,none,none,none
0x72,eithreshold,none,none,none,none,none
0x73,0,none,none,none,none,none
…,…,…,…,…,…,…
0x7F,0,none,none,none,none,none
0x80,eip0,none,none,none,none,none
…,…,…,…,…,…,…
0xBF,eip63,none,none,none,none,none
0xC0,eie0,none,none,none,none,none
…,…,…,…,…,…,…
0xFF,eie63,none,none,none,none,none
