0,1
Transfer Type Name,Associated Opcodes
Indirect call,"JALR x1, rs where rs != x5"
,"JALR x5, rs where rs != x1"
,C.JALR rs1 where rs1 != x5
Direct call,JAL x1
,JAL x5
,C.JAL
,CM.JALT index
Indirect jump (without linkage),"JALR x0, rs where rs != (x1 or x5)"
,C.JR rs1 where rs1 != (x1 or x5)
Direct jump (without linkage),JAL x0
,C.J
,CM.JT index
Co-routine swap,"JALR x1, x5"
,"JALR x5, x1"
,C.JALR x5
Function return,"JALR rd, rs where rs == (x1 or x5) and rd != (x1 or x5)"
,C.JR rs1 where rs1 == (x1 or x5)
,CM.POPRET(Z)
Other indirect jump (with linkage),"JALR rd, rs where rs != (x1 or x5) and rd != (x0, x1, or x5)"
Other direct jump (with linkage),"JAL rd where rd != (x0, x1, or x5)"
