0,1,2,3,4,5,6,7
CS,R Addr,ess,H,ex,Use,and Accessi,bility
[11:10],[9:8],[7:4],,,,,
,,,Unprivile,ged and,User-Level C,SRs,
00,00,XXXX,0x000,-0x0FF,Standard re,ad/write,
01,00,XXXX,0x400,-0x4FF,Standard re,ad/write,
10,00,XXXX,0x800,-0x8FF,Custom rea,d/write,
11,00,0XXX,0xC00,-0xC7F,Standard re,ad-only,
11,00,10XX,0xC80,-0xCBF,Standard re,ad-only,
11,00,11XX,0xCC0,-0xCFF,Custom rea,d-only,
,,,Sup,ervisor-L,evel CSRs,,
00,01,XXXX,0x100,-0x1FF,Standard re,ad/write,
01,01,0XXX,0x500,-0x57F,Standard re,ad/write,
01,01,10XX,0x580,-0x5BF,Standard re,ad/write,
01,01,11XX,0x5C0,-0x5FF,Custom rea,d/write,
10,01,0XXX,0x900,-0x97F,Standard re,ad/write,
10,01,10XX,0x980,-0x9BF,Standard re,ad/write,
10,01,11XX,0x9C0,-0x9FF,Custom rea,d/write,
11,01,0XXX,0xD00,-0xD7F,Standard re,ad-only,
11,01,10XX,0xD80,-0xDBF,Standard re,ad-only,
11,01,11XX,0xDC0,-0xDFF,Custom rea,d-only,
,,,Hyp,ervisor an,d VS CSRs,,
00,10,XXXX,0x200,-0x2FF,Standard re,ad/write,
01,10,0XXX,0x600,-0x67F,Standard re,ad/write,
01,10,10XX,0x680,-0x6BF,Standard re,ad/write,
01,10,11XX,0x6C0,-0x6FF,Custom rea,d/write,
10,10,0XXX,0xA00,-0xA7F,Standard re,ad/write,
10,10,10XX,0xA80,-0xABF,Standard re,ad/write,
