0,1,2,3
Number,Privilege,Name,Description
,,,Hypervisor Trap Setup
"0x600
0x602
0x603
0x604
0x606
0x607
0x612","HRW
HRW
HRW
HRW
HRW
HRW
HRW","hstatus
hedeleg
hideleg
hie
hcounteren
hgeie
hedelegh","Hypervisor status register.
Hypervisor exception delegation register.
Hypervisor interrupt delegation register.
Hypervisor interrupt-enable register.
Hypervisor counter enable.
Hypervisor guest external interrupt-enable register.
Upper 32 bits of hedeleg, RV32 only."
,,,Hypervisor Trap Handling
"0x643
0x644
0x645
0x64A
0xE12","HRW
HRW
HRW
HRW
HRO","htval
hip
hvip
htinst
hgeip","Hypervisor trap value.
Hypervisor interrupt pending.
Hypervisor virtual interrupt pending.
Hypervisor trap instruction (transformed).
Hypervisor guest external interrupt pending."
,,,Hypervisor Configuration
"0x60A
0x61A","HRW
HRW","henvcfg
henvcfgh","Hypervisor environment configuration register.
Upper 32 bits of henvcfg, RV32 only."
,,H,ypervisor Protection and Translation
0x680,HRW,hgatp,Hypervisor guest address translation and protection.
,,,Debug/Trace Registers
0x6A8,HRW,hcontext,Hypervisor-mode context register.
,,Hyperv,isor Counter/Timer Virtualization Registers
"0x605
0x615","HRW
HRW","htimedelta
htimedeltah","Delta for VS/VU-mode timer.
Upper 32 bits of htimedelta, RV32 only."
,,,Hypervisor State Enable Registers
"0x60C
0x60D
0x60E
0x60F
0x61C
0x61D
0x61E
0x61F","HRW
HRW
HRW
HRW
HRW
HRW
HRW
HRW","hstateen0
hstateen1
hstateen2
hstateen3
hstateen0h
hstateen1h
hstateen2h
hstateen3h","Hypervisor State Enable 0 Register.
Hypervisor State Enable 1 Register.
Hypervisor State Enable 2 Register.
Hypervisor State Enable 3 Register.
Upper 32 bits of Hypervisor State Enable 0 Register, RV32 only.
Upper 32 bits of Hypervisor State Enable 1 Register, RV32 only.
Upper 32 bits of Hypervisor State Enable 2 Register, RV32 only.
Upper 32 bits of Hypervisor State Enable 3 Register, RV32 only."
,,,Virtual Supervisor Registers
"0x200
0x204
0x205
0x240
0x241
0x242
0x243
0x244
0x280","HRW
HRW
HRW
HRW
HRW
HRW
HRW
HRW
HRW","vsstatus
vsie
vstvec
vsscratch
vsepc
vscause
vstval
vsip
vsatp","Virtual supervisor status register.
Virtual supervisor interrupt-enable register.
Virtual supervisor trap handler base address.
Virtual supervisor scratch register.
Virtual supervisor exception program counter.
Virtual supervisor trap cause.
Virtual supervisor trap value.
Virtual supervisor interrupt pending.
Virtual supervisor address translation and protection."
