0,1,2,3,4,5
B,its on pmp,cfg registe,r,Re,sult
L,R,W,X,M Mode,S/U Mode
0,0,0,0,Inaccessible region,(Access Exception)
0,0,0,1,Access Exception,Execute-only region
0,0,1,0,Shared data region: Read/write o,"n M mode, read-only on S/U mode"
0,0,1,1,Shared data region: Read/wr,ite for both M and S/U mode
0,1,0,0,Access Exception,Read-only region
0,1,0,1,Access Exception,Read/Execute region
0,1,1,0,Access Exception,Read/Write region
0,1,1,1,Access Exception,Read/Write/Execute region
1,0,0,0,Locked inaccessible reg,ion* (Access Exception)
1,0,0,1,Locked Execute-only region*,Access Exception
