0,1,2,3
Opcode,"MTE Support = Basic
_","MTE Support = Simplified
_","MTE Support = Standard
_"
,Transfer Update Match,Transfer Update1 Match,Transfer Update Match
WriteNoSnoop,- Y -,- Y -,Y Y Y2
WriteUnique*,- Y -,- Y -,- Y -
WriteNoSnoopFull,- Y -,Y Y -,Y Y Y
WriteBackFull,- Y -,Y Y -,Y Y -
WriteEvictFull,Y - -,Y - -,Y - -
Atomic,- - -,- - -,- - Y
CMO,- - -,- - -,- - -
Write*CMO,- - -,Y3 Y -,Y3 Y -
WriteZero,- - -,- - -,- - -
WriteUnique*Stash,- - -,- - -,- - -
StashOnce*,- - -,- - -,- - -
StashTranslation,- - -,- - -,- - -
Prefetch,- - -,Y - -,Y - -
WriteDeferrable,- - -,- - -,- - -
UnstashTranslation,- - -,- - -,- - -
InvalidateHint,- - -,- - -,- - -
