0,1,2,3
Number,Privilege,Name,Description
,,Sup,ervisor Trap Setup
"0x100
0x104
0x105
0x106","SRW
SRW
SRW
SRW","sstatus
sie
stvec
scounteren","Supervisor status register.
Supervisor interrupt-enable register.
Supervisor trap handler base address.
Supervisor counter enable."
,,Supe,rvisor Configuration
0x10A,SRW,senvcfg,Supervisor environment configuration register.
,,Supe,rvisor Counter Setup
0x120,SRW,scountinhibit,Supervisor counter-inhibit register.
,,Supe,rvisor Trap Handling
"0x140
0x141
0x142
0x143
0x144
0xDA0","SRW
SRW
SRW
SRW
SRW
SRO","sscratch
sepc
scause
stval
sip
scountovf","Supervisor scratch register.
Supervisor exception program counter.
Supervisor trap cause.
Supervisor trap value.
Supervisor interrupt pending.
Supervisor count overflow."
,,Supervisor,Protection and Translation
0x180,SRW,satp,Supervisor address translation and protection.
,,Deb,ug/Trace Registers
0x5A8,SRW,scontext,Supervisor-mode context register.
,,Superviso,r State Enable Registers
"0x10C
0x10D
0x10E
0x10F","SRW
SRW
SRW
SRW","sstateen0
sstateen1
sstateen2
sstateen3","Supervisor State Enable 0 Register.
Supervisor State Enable 1 Register.
Supervisor State Enable 2 Register.
Supervisor State Enable 3 Register."
